SetName,Distribution,ThreadNumber,OPS,Time,Discrepancy
LocalLog,Normal,4,1:1:8,830665,0
LocalLog,Normal,4,1:1:8,781533,0
LocalLog,Normal,4,1:1:8,647869,0
LocalLog,Normal,4,1:1:8,599416,0
GlobalLog,Normal,4,1:1:8,2294361195,0
GlobalLog,Normal,4,1:1:8,2659185520,1
GlobalLog,Normal,4,1:1:8,2337154121,0
GlobalLog,Normal,4,1:1:8,1895433655,1
GlobalLog,Normal,4,1:1:8,3158605154,0
Extra,Normal,4,1:1:8,2500786393,0
Extra,Normal,4,1:1:8,4092408809,1
Extra,Normal,4,1:1:8,3370262041,0
Extra,Normal,4,1:1:8,3750247905,0
Extra,Normal,4,1:1:8,3881333672,1
Default,Normal,4,1:1:0,1833189408,-1
Default,Normal,4,1:1:0,1995334039,-1
Default,Normal,4,1:1:0,1869051789,-1
Default,Normal,4,1:1:0,1954497924,-1
Default,Normal,4,1:1:0,1831835732,-1
LocalLog,Normal,4,1:1:0,922550,0
LocalLog,Normal,4,1:1:0,614195,0
LocalLog,Normal,4,1:1:0,595008,0
LocalLog,Normal,4,1:1:0,627330,0
LocalLog,Normal,4,1:1:0,620728,0
GlobalLog,Normal,4,1:1:0,3304090178,0
GlobalLog,Normal,4,1:1:0,2483801451,2
GlobalLog,Normal,4,1:1:0,3229338236,0
GlobalLog,Normal,4,1:1:0,3217040169,4
GlobalLog,Normal,4,1:1:0,2664068020,0
Extra,Normal,4,1:1:0,5436987148,10
Extra,Normal,4,1:1:0,5078262828,4
Extra,Normal,4,1:1:0,5075047449,0
Extra,Normal,4,1:1:0,5119754926,2
Extra,Normal,4,1:1:0,5327442435,0
Default,Uniform,8,1:1:8,1857226860,-1
Default,Uniform,8,1:1:8,1883357663,-1
Default,Uniform,8,1:1:8,1893360064,-1
Default,Uniform,8,1:1:8,1867942184,-1
Default,Uniform,8,1:1:8,1894760948,-1
LocalLog,Uniform,8,1:1:8,1047346,0
LocalLog,Uniform,8,1:1:8,993243,0
LocalLog,Uniform,8,1:1:8,1133700,0
LocalLog,Uniform,8,1:1:8,3824854,0
LocalLog,Uniform,8,1:1:8,900628,0
GlobalLog,Uniform,8,1:1:8,5100325293,2
GlobalLog,Uniform,8,1:1:8,5101777696,0
GlobalLog,Uniform,8,1:1:8,3769914302,0
GlobalLog,Uniform,8,1:1:8,4600557189,0
GlobalLog,Uniform,8,1:1:8,4833370608,1
Extra,Uniform,8,1:1:8,8945428525,0
Extra,Uniform,8,1:1:8,9684494292,0
Extra,Uniform,8,1:1:8,9085280281,1
Extra,Uniform,8,1:1:8,8386606261,0
Extra,Uniform,8,1:1:8,8861253106,0
Default,Uniform,8,1:1:0,2517845528,-1
Default,Uniform,8,1:1:0,2519157401,-1
Default,Uniform,8,1:1:0,2501910580,-1
Default,Uniform,8,1:1:0,2583738076,-1
Default,Uniform,8,1:1:0,2543433763,-1
LocalLog,Uniform,8,1:1:0,1176020,0
LocalLog,Uniform,8,1:1:0,1027919,0
LocalLog,Uniform,8,1:1:0,1124062,0
LocalLog,Uniform,8,1:1:0,4293583,0
LocalLog,Uniform,8,1:1:0,889858,0
GlobalLog,Uniform,8,1:1:0,6787245309,12
GlobalLog,Uniform,8,1:1:0,6937924903,2
GlobalLog,Uniform,8,1:1:0,6896457955,6
GlobalLog,Uniform,8,1:1:0,6947410242,16
GlobalLog,Uniform,8,1:1:0,6392741962,8
Extra,Uniform,8,1:1:0,8893862610,4
Extra,Uniform,8,1:1:0,8169600571,0
Extra,Uniform,8,1:1:0,8288190345,2
Extra,Uniform,8,1:1:0,7573107413,4
Extra,Uniform,8,1:1:0,6099490684,2
Default,Normal,8,1:1:8,1349483687,-1
Default,Normal,8,1:1:8,1621919806,-1
Default,Normal,8,1:1:8,1519254968,-1
Default,Normal,8,1:1:8,1603766915,-1
Default,Normal,8,1:1:8,1613269970,-1
LocalLog,Normal,8,1:1:8,1189296,0
LocalLog,Normal,8,1:1:8,1167234,0
LocalLog,Normal,8,1:1:8,1066362,0
LocalLog,Normal,8,1:1:8,4088826,0
LocalLog,Normal,8,1:1:8,757787,0
GlobalLog,Normal,8,1:1:8,3846288410,2
GlobalLog,Normal,8,1:1:8,3729648645,3
GlobalLog,Normal,8,1:1:8,4290229400,3
GlobalLog,Normal,8,1:1:8,3910018470,7
GlobalLog,Normal,8,1:1:8,3784808258,1
Extra,Normal,8,1:1:8,8699981645,1
Extra,Normal,8,1:1:8,9125545198,0
Extra,Normal,8,1:1:8,8378610157,0
Extra,Normal,8,1:1:8,8380420110,2
Extra,Normal,8,1:1:8,7468041396,2
Default,Normal,8,1:1:0,2256228661,-1
Default,Normal,8,1:1:0,2235089591,-1
Default,Normal,8,1:1:0,2194476188,-1
Default,Normal,8,1:1:0,2264725569,-1
Default,Normal,8,1:1:0,2231169614,-1
LocalLog,Normal,8,1:1:0,1152606,0
LocalLog,Normal,8,1:1:0,1052777,0
LocalLog,Normal,8,1:1:0,1491269,0
LocalLog,Normal,8,1:1:0,3970061,0
LocalLog,Normal,8,1:1:0,733521,0
GlobalLog,Normal,8,1:1:0,6341554051,6
GlobalLog,Normal,8,1:1:0,6024625328,14
GlobalLog,Normal,8,1:1:0,6741210629,14
GlobalLog,Normal,8,1:1:0,6290923511,8
GlobalLog,Normal,8,1:1:0,6184145643,4
Extra,Normal,8,1:1:0,7788929034,10
Extra,Normal,8,1:1:0,8381317546,12
Extra,Normal,8,1:1:0,7871028707,10
Extra,Normal,8,1:1:0,8196329897,22
Extra,Normal,8,1:1:0,8334772829,12
Default,Uniform,16,1:1:8,2049128216,-1
Default,Uniform,16,1:1:8,2069763637,-1
Default,Uniform,16,1:1:8,2005611005,-1
Default,Uniform,16,1:1:8,2008275509,-1
Default,Uniform,16,1:1:8,1984229665,-1
LocalLog,Uniform,16,1:1:8,4956773,0
LocalLog,Uniform,16,1:1:8,2577890,0
LocalLog,Uniform,16,1:1:8,2411564,0
LocalLog,Uniform,16,1:1:8,2538014,0
LocalLog,Uniform,16,1:1:8,2479193,0
GlobalLog,Uniform,16,1:1:8,12147706572,1
GlobalLog,Uniform,16,1:1:8,11921291279,0
GlobalLog,Uniform,16,1:1:8,10566635745,3
GlobalLog,Uniform,16,1:1:8,11201821443,2
GlobalLog,Uniform,16,1:1:8,11431827255,4
Extra,Uniform,16,1:1:8,19113408979,0
Extra,Uniform,16,1:1:8,21404567010,1
Extra,Uniform,16,1:1:8,21609398862,0
Extra,Uniform,16,1:1:8,21150688070,1
Extra,Uniform,16,1:1:8,21705684469,0
Default,Uniform,16,1:1:0,2749329927,-1
Default,Uniform,16,1:1:0,2764767463,-1
Default,Uniform,16,1:1:0,2771642845,-1
Default,Uniform,16,1:1:0,2716700358,-1
Default,Uniform,16,1:1:0,2724912677,-1
LocalLog,Uniform,16,1:1:0,6111213,0
LocalLog,Uniform,16,1:1:0,1897870,0
LocalLog,Uniform,16,1:1:0,2378262,0
LocalLog,Uniform,16,1:1:0,2394172,0
LocalLog,Uniform,16,1:1:0,2549667,0
GlobalLog,Uniform,16,1:1:0,13332853861,10
GlobalLog,Uniform,16,1:1:0,14248603723,6
GlobalLog,Uniform,16,1:1:0,12878402347,8
GlobalLog,Uniform,16,1:1:0,14034675226,10
GlobalLog,Uniform,16,1:1:0,13517646114,8
Extra,Uniform,16,1:1:0,21621759194,8
Extra,Uniform,16,1:1:0,23388600826,2
Extra,Uniform,16,1:1:0,23543789530,2
Extra,Uniform,16,1:1:0,21669511673,2
Extra,Uniform,16,1:1:0,22670647853,8
Default,Normal,16,1:1:8,1751395233,-1
Default,Normal,16,1:1:8,1643488238,-1
Default,Normal,16,1:1:8,1575539762,-1
Default,Normal,16,1:1:8,1563263525,-1
Default,Normal,16,1:1:8,1567728965,-1
LocalLog,Normal,16,1:1:8,4509955,0
LocalLog,Normal,16,1:1:8,2087700,0
LocalLog,Normal,16,1:1:8,2366829,0
LocalLog,Normal,16,1:1:8,2690644,0
LocalLog,Normal,16,1:1:8,2255619,0
GlobalLog,Normal,16,1:1:8,11834488953,3
GlobalLog,Normal,16,1:1:8,10735076734,3
GlobalLog,Normal,16,1:1:8,12851965180,1
GlobalLog,Normal,16,1:1:8,12580136415,3
GlobalLog,Normal,16,1:1:8,12768026857,3
Extra,Normal,16,1:1:8,19507119255,4
Extra,Normal,16,1:1:8,22293398010,4
Extra,Normal,16,1:1:8,22158936130,1
Extra,Normal,16,1:1:8,18969768833,2
Extra,Normal,16,1:1:8,20448631623,0
Default,Normal,16,1:1:0,2467912991,-1
Default,Normal,16,1:1:0,2456631630,-1
Default,Normal,16,1:1:0,2501955718,-1
Default,Normal,16,1:1:0,2458751142,-1
Default,Normal,16,1:1:0,2489041941,-1
LocalLog,Normal,16,1:1:0,4482844,0
LocalLog,Normal,16,1:1:0,1616917,0
LocalLog,Normal,16,1:1:0,2496646,0
LocalLog,Normal,16,1:1:0,2441401,0
LocalLog,Normal,16,1:1:0,2383972,0
GlobalLog,Normal,16,1:1:0,14246048886,22
GlobalLog,Normal,16,1:1:0,14153387312,20
GlobalLog,Normal,16,1:1:0,12481318836,22
GlobalLog,Normal,16,1:1:0,13968433749,32
GlobalLog,Normal,16,1:1:0,13290075497,44
Extra,Normal,16,1:1:0,21871686819,2
Extra,Normal,16,1:1:0,23406591921,8
Extra,Normal,16,1:1:0,21909088710,8
Extra,Normal,16,1:1:0,21991504389,14
Extra,Normal,16,1:1:0,24182722059,18
Default,Uniform,32,1:1:8,2294031548,-1
Default,Uniform,32,1:1:8,2219180746,-1
Default,Uniform,32,1:1:8,2278233491,-1
Default,Uniform,32,1:1:8,2196457805,-1
Default,Uniform,32,1:1:8,2384982466,-1
LocalLog,Uniform,32,1:1:8,3487483,0
LocalLog,Uniform,32,1:1:8,2986032,0
LocalLog,Uniform,32,1:1:8,2756176,0
LocalLog,Uniform,32,1:1:8,3360913,0
LocalLog,Uniform,32,1:1:8,3338130,0
